AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel
1,0,,,9,1,1,1,2,360000,32400,1971,,2,350622,4,2,2,1,2,2,3,4,4
2,0,,,9,1,1,2,2,350622,24000,1971,,2,350622,3,2,2,1,2,2,3,4,4
1,0,,,9,,,,2,350600,,1957,,2,350622,4,3,2,3,,,2,4,4
1,0,,,9,,,,2,350521,,1956,,2,350622,2,1,1,1,,,1,4,3
2,0,,,3,,,,2,350622,,1966,,2,350622,1,1,2,3,1,1,1,3,3
2,0,,,3,1,1,,2,350622,100000,1983,,2,350622,2,,2,3,1,1,1,3,4
2,0,,,3,1,1,,2,350623,20000,1983,,2,350622,3,2,2,3,2,1,3,4,3
4,2,,,9,1,1,,2,350622,24000,1981,,2,350622,3,2,2,3,2,1,1,1,3
2,0,,,9,2,1,,2,350622,70000,1971,,2,350622,4,3,2,3,2,2,2,4,3
2,0,,,3,,,,2,350622,,1955,,2,350622,,,2,3,1,1,1,3,2
3,0,,,9,2,2,,2,350622,70000,1971,,4,350622,4,4,2,3,,,2,4,5
2,0,,,3,,,,2,0,,1956,,2,350622,2,1,2,3,1,1,1,3,4
3,0,3,4,9,,,,2,350622,,1947,3,2,350622,,1,2,3,1,1,1,1,2
2,0,2,2,9,4,4,,2,350622,20000,1968,,2,350622,1,1,2,3,1,1,1,1,2
2,0,2,4,3,,,,,350622,,1973,,2,350622,1,1,2,3,1,1,1,1,1
3,0,4,4,9,2,1,1,2,350622,16000,1993,,1,350622,,,2,3,1,1,1,1,9
3,0,2,2,9,4,3,,2,350622,20000,1958,,2,350622,,,2,3,1,1,1,1,2
2,0,3,5,9,4,1,,2,350622,15000,1960,,2,350622,2,1,2,3,1,1,1,1,2
3,0,3,4,9,4,1,,2,350628,15000,1962,,2,350622,1,1,2,3,1,1,1,1,3
1,0,5,5,3,2,1,,2,350622,70000,1988,,1,350622,6,,2,3,1,1,1,1,2
3,0,2,2,9,4,4,,2,350622,500,1959,,2,350622,1,1,2,3,1,1,1,1,2
2,0,2,3,9,,,,,350622,,1965,,2,350622,,,2,3,1,1,1,1,1
2,0,3,4,9,2,1,,2,350622,36000,1985,,2,350622,,,2,3,1,1,1,1,2
1,0,1,3,9,3,1,,2,445122,25000,1985,,2,350622,99,,2,3,1,1,1,1,2
3,0,2,3,9,1,1,,2,350622,7000,1991,,2,350622,3,1,2,3,1,1,1,1,3
3,0,4,2,9,,,,,350622,,1954,,2,350622,1,1,2,3,1,1,1,1,1
3,0,4,2,9,,,,,350622,,1954,,2,350622,1,1,2,3,1,1,1,1,1
2,0,4,4,9,4,1,,2,350622,8000,1962,,2,350622,,1,2,3,1,1,1,1,3
2,0,2,4,9,1,1,1,2,350622,40000,1992,,1,350622,,,2,1,1,1,1,1,3
2,0,4,2,3,4,1,,2,350622,0,1964,,2,350622,1,1,2,3,1,1,1,1,2
2,0,4,4,9,3,1,,2,350622,14000,1965,,2,350622,,1,2,3,1,1,1,1,3
2,0,3,4,9,3,1,,2,350622,10000,1969,,2,350622,2,1,2,3,1,1,1,1,3
2,0,4,4,9,4,4,,,350622,10000,1972,,2,350622,,1,2,3,1,1,1,1,1
2,0,2,2,9,,,,2,350622,,2000,,1,350622,,3,2,3,1,1,1,1,3
2,0,2,2,9,,,,2,350622,,1976,,1,350622,,2,2,3,1,1,1,1,2
2,0,2,3,9,4,1,,2,350622,15000,1964,,2,350622,1,1,2,3,1,1,1,1,2
3,0,2,4,9,,,,,350622,,1964,,2,350622,1,1,2,3,1,1,1,1,1
3,0,4,4,9,4,4,,2,350622,4000,1954,,2,350622,1,1,2,3,1,1,1,1,3
3,0,4,4,9,,,,2,350622,,1957,8,2,350622,2,1,2,3,1,1,1,1,2
3,0,3,2,9,,,,,350622,,1960,6,2,350622,1,1,2,3,1,1,1,1,1
3,0,4,3,9,4,4,,2,350622,20000,1954,,2,350622,1,1,2,3,1,1,1,1,2
3,0,3,4,9,4,4,,2,350622,20000,1961,,2,350622,1,1,2,3,1,1,1,1,2
3,0,4,4,9,,,,,350622,,1957,,2,350622,1,1,2,3,1,1,1,1,1
3,0,4,3,9,,,,2,350622,,1957,,2,350622,,1,2,3,1,1,1,1,3
1,0,2,5,9,4,2,,2,350622,110000,1964,1,2,350622,1,1,2,3,1,1,1,1,2
2,0,2,4,9,2,2,,,350622,5000,1967,12,2,350622,,1,2,3,1,1,1,1,1
1,0,4,5,9,3,1,,2,350622,50000,1988,3,1,350622,,,2,3,1,1,1,1,2
3,0,3,5,9,1,1,,2,350622,30000,1992,7,1,350622,,,2,3,1,1,1,1,3
2,0,1,5,9,4,4,,2,350622,5000,1972,,2,350622,2,2,2,3,1,1,1,1,2
2,0,4,4,9,4,2,,2,350622,30000,1970,4,2,350622,1,1,2,3,1,1,1,1,3
3,0,4,4,9,,,,2,350622,,1968,,2,350622,1,1,2,3,1,1,1,1,3
2,0,4,4,9,4,3,,2,350622,50000,1971,,2,350622,,1,2,3,1,1,1,1,3
2,0,3,4,9,,,,,350622,,1962,,2,350622,,1,2,3,1,1,1,1,1
2,0,4,4,9,3,1,,2,350622,60000,1967,,2,350622,,2,2,3,1,1,1,1,3
3,0,1,4,9,4,1,,2,350622,10000,1962,,2,350622,1,1,2,3,1,1,1,1,2
2,0,1,2,9,4,1,,2,350622,10000,1964,,2,350622,2,,2,1,1,1,1,1,4
3,0,2,4,9,4,1,,2,350622,10000,1954,4,2,350622,1,1,2,3,1,1,1,1,2
3,0,2,3,9,4,4,,,350622,2000,1960,3,2,350622,,,2,3,1,1,1,1,1
2,0,4,4,9,,,,2,350622,,1983,,2,350622,,,2,3,1,1,1,1,2
2,0,4,4,9,3,1,,2,350622,60000,1983,,2,350622,,,2,1,1,1,1,1,3
2,0,2,4,9,,,,2,350622,,1958,,2,350622,2,,2,3,1,1,1,1,4
2,0,3,3,9,,,,,350622,,1963,,2,350622,2,1,2,3,1,1,1,1,1
2,0,2,4,9,4,4,,,350622,20000,1962,,2,350622,,1,2,3,1,1,1,1,1
3,0,4,4,9,,,,2,350622,,1957,,2,350622,1,1,1,3,1,1,1,1,2
3,0,3,3,9,,,,,350622,,1965,,2,350622,1,1,2,3,1,1,1,1,1
3,0,3,3,9,,,,,350622,,1974,,2,350622,1,1,2,3,1,1,1,1,1
3,0,3,3,9,4,2,,2,350622,0,1969,,2,350622,1,1,2,3,1,1,1,1,2
2,0,2,4,9,4,4,,,350622,70000,1957,2,2,350622,,1,2,3,1,1,1,1,1
2,0,2,4,9,4,2,,,350622,70000,1962,,2,350622,1,1,2,3,1,1,1,1,1
2,0,4,3,9,4,1,,2,350622,10000,1964,9,2,350622,1,1,2,3,1,1,1,1,2
2,0,4,2,9,4,2,,2,350622,10000,1964,,2,350622,2,1,2,3,1,1,1,1,3
2,0,2,4,9,4,4,,,350622,30000,1966,,2,350622,,1,2,3,1,1,1,1,1
2,0,,,9,1,1,,2,350403,30000,1957,,2,350403,1,2,2,3,,,3,4,4
1,0,,,3,,,,2,430405,,1989,,2,350424,2,3,2,3,1,1,1,1,3
1,0,,,9,,,,2,350403,,1962,,2,350403,1,1,2,3,,,3,4,3
2,0,,,9,,,,2,350403,,1962,,2,350403,1,1,2,3,2,2,2,2,4
3,0,,,9,,,,2,350121,,1959,,2,350403,99,,2,3,2,,2,2,2
4,0,,,9,,,,2,610300,,1957,,2,350403,2,1,2,3,1,1,2,4,4
2,0,,,9,,,,2,321081,,1956,5,2,350403,2,1,2,1,2,2,3,4,4
1,0,,,9,,,,2,350403,,1963,,4,350403,3,,2,3,1,1,3,4,3
3,0,,,3,4,4,,2,330000,15600,1949,,2,350403,1,1,2,3,1,1,1,3,2
2,0,,,9,,,,2,350403,,1962,,2,350403,2,1,2,3,1,1,3,4,3
2,0,,,9,,,,2,350429,,1966,,2,350403,4,2,2,3,,2,3,4,8
2,0,,,9,1,1,1,2,350424,100000,1967,,2,350403,1,1,2,3,1,1,3,4,7
1,0,,,9,4,1,,2,350583,0,1976,,2,350403,1,1,2,3,1,1,1,3,2
2,0,,,9,,,,2,320000,,1960,,5,320000,2,1,2,3,1,1,3,4,3
1,0,,,9,,,,2,310104,,1961,,2,350403,3,2,2,3,2,2,3,4,4
1,0,,,9,,,,2,350403,,1969,,2,350403,,,2,3,2,2,2,2,4
2,0,,,9,3,2,,2,350322,60000,1968,,2,350322,,,2,3,1,1,1,1,2
2,0,,,9,,,,2,350403,,2002,,1,350322,,,2,3,1,2,1,1,3
3,0,,,9,2,1,2,2,350421,15000,1978,,2,350403,2,1,2,3,1,1,1,3,3
2,0,,,9,2,1,2,2,350524,99999,1978,,2,350403,,3,2,3,1,1,1,3,3
2,0,,,9,,,,2,350403,,2002,,1,350403,,,2,3,1,1,1,3,5
2,0,,,9,2,2,,,520502,20000,1971,,2,520502,2,2,2,3,1,1,1,1,1
1,0,,,2,,,,2,350403,,1966,,2,350403,1,1,2,3,2,2,3,4,4
2,0,,,9,,,,2,350403,,1987,10,2,330502,3,2,2,3,1,1,1,1,3
2,0,,,9,2,1,2,2,350402,99999,1986,10,2,350402,3,2,2,3,2,2,3,4,6
1,0,,,3,2,1,,2,350322,99999,1986,10,2,350402,2,1,2,3,1,1,1,3,6
3,0,,,9,1,1,,2,350304,99997,1987,9,2,350403,3,2,2,3,1,1,3,4,8
3,0,,,9,,,,2,350403,,1965,3,4,350403,,,2,3,2,2,2,4,3
2,0,4,4,9,4,4,,2,350703,30000,1957,,2,350703,,1,2,3,1,1,1,1,3
2,0,2,4,9,4,4,,,0,99999,1961,,2,350703,,1,2,3,1,1,1,1,1
2,0,2,4,3,,,,2,350703,,1986,7,2,350703,4,2,2,3,1,1,1,1,2
2,0,4,4,9,,,,2,350703,,1967,,2,350703,1,1,2,3,1,1,1,1,3
3,0,4,4,9,4,2,,2,350703,20000,1964,,2,350703,2,,2,3,1,1,1,1,2
2,0,4,5,9,,,,,0,,1958,,2,350703,2,2,2,3,2,2,1,1,1
1,0,2,4,9,4,2,,2,350703,30000,1957,,2,350703,2,2,2,3,1,1,1,1,4
2,0,5,5,3,,,,2,350703,,1973,,2,350703,3,1,2,3,1,1,1,1,2
2,0,5,5,9,,,,2,421127,,1987,,2,350703,3,2,2,3,1,1,1,1,3
2,0,4,2,9,4,2,,2,350703,45000,1983,,2,350703,,,2,3,1,1,1,1,3
2,0,3,3,3,,,,2,330881,,1963,,2,350703,1,1,2,3,1,1,1,1,2
2,0,4,4,9,4,4,,2,350703,20000,1959,,2,350703,1,1,2,3,1,1,1,1,2
2,0,3,4,3,2,1,,2,350703,99999,1968,,2,350703,2,2,2,3,1,1,1,1,2
2,0,4,3,9,4,4,,2,350703,20000,1967,,2,350703,3,2,2,3,1,1,1,1,2
3,0,3,3,9,4,4,,2,350725,30000,1959,,2,350703,,1,2,3,1,1,1,1,3
3,0,2,2,3,4,4,,,350725,99999,1963,,2,350703,,1,2,3,1,1,1,1,1
2,0,4,2,3,,,,2,350703,,1976,,2,350703,1,1,2,3,1,1,1,1,3
2,0,4,4,9,,,,2,350703,,1954,3,2,350703,2,1,2,3,1,1,1,1,2
3,0,4,4,9,2,1,,2,350725,15000,1968,,2,350703,2,1,2,3,1,1,1,1,2
2,0,3,2,9,4,1,,2,350703,40000,1967,,2,350703,2,1,2,3,1,1,1,1,3
4,0,2,5,3,,,,,350725,,1955,,2,350703,1,1,2,3,1,1,1,1,1
2,0,1,3,3,3,1,,2,350703,40000,1999,,1,350703,,,2,3,1,1,1,1,3
3,0,3,4,3,4,2,,,350725,10000,1978,,2,350703,1,1,2,3,1,1,1,1,1
2,0,1,3,9,4,4,,2,350703,30000,1971,,2,350703,2,1,2,3,1,1,1,1,2
2,0,3,4,9,,,,2,350703,,1976,,2,350703,4,1,2,3,1,1,1,1,3
1,0,2,2,3,,,,2,350703,,1972,,2,350703,1,1,2,3,1,1,1,1,2
1,0,1,4,3,,,,2,350782,,1982,12,2,350703,,3,2,3,1,1,1,1,2
2,0,3,2,9,4,4,,2,350703,20000,1957,,2,350703,1,1,2,3,1,1,1,1,2
2,0,4,4,3,,,,2,350782,,1959,,2,350703,4,1,2,3,1,1,1,1,3
3,0,2,4,9,4,4,,2,350703,30000,1960,,2,350703,2,,2,3,1,1,1,1,4
2,0,2,4,9,4,3,,2,350703,20000,1962,,2,350703,2,2,2,3,1,1,1,1,2
2,0,3,5,9,,,,2,350924,,1992,1,2,350924,2,3,2,1,1,1,1,1,7
3,0,2,4,9,4,3,,2,350703,80000,1971,,2,350703,2,,2,3,1,1,1,1,3
1,0,2,3,3,4,4,,2,350421,16800,1963,,2,350703,1,1,2,3,1,1,1,1,3
2,0,2,4,3,4,4,,2,350703,30000,1960,,2,350703,1,1,2,3,1,1,1,1,3
2,0,1,5,3,,,,2,350781,,1991,,2,350703,,,2,3,1,1,1,1,3
2,0,1,4,9,4,1,,2,350703,50000,1983,,2,350703,2,2,1,3,1,1,1,1,3
1,0,3,4,9,3,1,,2,350703,90000,1982,,2,350703,,,2,3,1,1,1,1,3
2,0,2,2,3,,,,2,350703,,1983,,2,350703,1,1,2,3,1,1,1,1,2
2,0,2,4,9,4,1,,2,350703,30000,1967,,2,350703,1,1,1,3,1,1,1,1,3
2,0,3,4,9,2,1,2,2,350703,8000,1967,,2,350703,,,2,3,1,1,1,1,3
3,0,2,4,9,2,2,,2,350703,30000,1990,,2,350703,,,1,3,1,1,1,1,3
2,0,3,4,9,,,,2,350703,,1943,,2,350703,1,2,2,3,1,1,1,1,2
2,0,4,4,3,2,1,,2,450325,7000,1984,7,2,350703,1,1,2,3,1,1,1,1,2
2,0,4,4,9,4,1,,2,350703,40000,1972,2,2,350703,,,2,3,1,1,1,1,3
2,0,2,4,3,,,,2,350703,,1977,11,2,350703,2,1,2,3,1,1,1,1,2
1,0,2,4,3,4,1,,2,350703,50000,1975,,2,350703,2,1,2,3,1,1,1,1,2
1,0,1,4,9,3,1,,2,350703,23000,1976,2,4,350703,9,,2,3,1,1,1,1,2
2,0,4,2,9,,,,2,500151,,1966,12,2,350703,1,1,2,3,1,1,1,1,2
1,0,4,4,9,4,1,,2,350703,40000,1968,10,2,350703,1,,2,3,1,1,1,1,3
4,0,4,4,9,4,4,,,350300,10000,1948,10,3,350703,1,1,2,3,1,1,1,1,1
2,0,1,4,9,,,,2,350629,,1957,,1,350629,1,,2,3,1,1,1,1,2
2,0,4,4,9,,,,2,350629,,1989,,2,350629,2,1,2,3,1,1,1,1,7
3,0,2,5,3,4,4,,2,350629,10000,1957,,2,350629,1,1,2,3,1,1,1,1,2
2,0,3,4,3,2,1,,2,350629,10000,1987,,2,350629,,,1,3,1,1,1,1,3
3,0,3,5,9,4,3,,2,350524,7800,1952,,2,350629,2,1,2,3,1,1,1,1,2
3,0,3,4,9,4,2,,2,350629,0,1949,,2,350629,2,1,1,3,1,1,1,1,3
1,0,3,2,9,2,2,1,2,350629,50000,1977,,2,350629,,,2,1,1,1,1,3,8
1,0,3,2,9,2,2,1,2,350629,45000,1977,12,2,350629,7,7,2,3,2,2,2,4,9
1,0,2,2,3,4,4,,2,350629,0,1965,1,4,350629,1,1,2,3,1,1,1,1,2
2,0,4,4,8,4,2,,2,350629,60000,1968,,2,350629,1,1,2,3,1,1,1,1,3
2,0,5,5,3,1,1,,2,350629,24000,1972,,5,350629,1,2,2,3,1,1,1,1,2
3,0,1,3,9,4,4,,2,350629,6700,1971,8,2,350629,1,1,2,3,1,1,1,1,2
3,0,4,3,9,3,1,1,2,350629,40000,1972,,2,350629,2,2,2,3,1,1,1,1,3
2,0,3,4,3,,,,2,350629,,1958,,2,350629,1,1,2,3,1,1,1,1,2
2,0,3,4,9,2,1,,2,350783,30000,1989,,2,350629,2,2,2,3,1,1,1,1,3
2,0,4,4,9,3,1,1,2,350629,60000,1971,,2,350629,2,2,1,1,1,1,1,3,8
1,0,4,4,3,,,,2,350629,,1999,,1,350629,,,2,3,1,1,1,1,5
2,0,3,3,3,4,1,,2,350629,10000,1969,12,2,350629,1,1,2,3,1,1,1,1,2
2,0,4,4,3,4,1,,2,350629,10000,1969,5,2,350629,1,1,2,3,1,1,1,1,2
2,0,4,4,9,2,1,2,2,350629,50000,1987,,2,350629,4,3,2,3,1,1,1,1,8
1,0,3,3,9,4,3,,2,350629,7800,1971,,2,350629,1,1,2,3,1,1,1,1,2
2,0,4,3,9,,,,2,350629,,1975,,2,350629,2,2,2,3,1,1,1,1,2
3,0,4,5,9,4,1,1,2,350629,50000,1975,8,4,350629,2,1,2,3,1,1,1,1,8
2,0,2,5,9,,,,2,350629,,1986,,2,350629,,,2,3,1,1,1,1,3
2,0,2,4,9,4,4,,,350629,0,1962,,2,350629,1,1,2,3,1,1,1,1,1
2,0,2,3,9,4,4,,2,350629,8000,1956,,2,350629,9,1,2,3,1,1,1,1,2
2,0,2,2,8,,,,,350629,,1961,,2,350629,,1,2,3,1,1,1,1,1
3,0,3,3,3,1,1,,2,350823,56000,1986,,2,350629,3,1,2,3,1,1,1,1,3
2,0,3,4,9,4,1,1,2,350629,70000,1963,,5,350629,2,1,2,1,1,1,1,1,8
2,0,2,4,3,1,1,,2,350629,56000,1986,,2,350629,,,2,3,1,1,1,1,3
3,0,2,4,9,2,1,,2,350629,150000,1982,,2,350629,4,1,2,3,1,1,1,1,3
3,0,4,4,3,,,,2,350629,,1970,,2,350629,,1,2,3,1,1,1,1,2
3,0,4,5,9,1,1,2,2,350629,40000,1992,,1,350629,,,2,3,1,1,1,1,8
3,0,4,3,9,,,,2,350629,,1998,,1,350629,,,2,3,1,1,1,1,9
3,0,3,3,3,4,4,,,350629,15000,1967,,5,350629,2,1,2,3,1,1,1,1,1
2,0,4,4,3,4,4,,2,350629,1320,1955,,2,350629,1,1,2,3,1,1,1,1,2
2,0,4,4,3,,,,2,350629,,1976,,2,350629,2,1,2,3,1,1,1,1,7
2,0,2,4,3,,,,2,350629,,1968,,2,350629,2,2,2,3,1,1,1,1,2
2,0,1,5,9,4,2,,2,350629,40000,1967,,2,350629,,1,2,3,1,1,1,1,2
2,0,4,4,3,2,1,,2,350629,28000,1977,,2,350629,,,2,3,1,1,1,1,3
3,0,3,4,3,,,,2,350629,,1979,,2,350629,2,4,2,3,1,2,3,4,8
2,0,2,1,9,,,,,350629,,1958,,2,350629,1,1,2,3,1,1,1,1,1
2,0,3,3,9,,,,2,350629,,1955,,2,350629,1,1,2,3,1,1,1,1,2
2,0,2,4,3,,,,2,350629,,1955,5,2,350629,1,1,2,3,1,1,1,1,3
2,0,2,4,3,,,,2,350629,,1975,11,2,350629,1,,2,3,1,1,1,1,2
3,0,3,3,9,,,,2,350629,,2002,8,1,350629,,,2,3,1,1,1,1,5
3,0,3,4,3,,,,2,350629,,1957,7,2,350629,2,1,2,3,1,1,1,1,2
2,0,2,4,3,2,3,,2,350629,25000,1967,7,2,350629,1,1,2,3,1,1,1,1,3
2,0,3,5,9,4,1,,2,350629,24000,1967,4,2,350629,2,1,2,3,1,1,1,1,3
3,0,3,5,9,1,1,1,2,350629,30000,1994,9,1,350629,,,2,3,1,1,1,1,8
2,0,3,1,9,,,,2,350629,,1955,,2,350629,1,1,2,3,1,1,1,1,2
2,0,4,5,3,,,,2,350629,,1958,7,2,350629,1,1,2,3,1,1,1,1,4
2,0,2,4,9,,,,2,350629,,1990,2,2,350629,3,2,2,3,1,1,1,1,3
2,0,,,9,2,2,,2,350681,40000,1970,6,2,350681,,,2,3,1,1,2,2,2
1,0,,,9,3,2,,2,350600,40000,1973,11,2,350681,2,2,2,3,1,1,1,2,2
4,0,,,9,,,,2,350681,,1959,12,5,350681,3,2,2,3,2,2,2,4,3
3,0,,,9,1,1,1,2,350681,20000,1985,12,2,350681,4,,2,3,2,2,3,4,9
1,0,,,9,4,1,,2,350681,35000,1970,6,2,350681,7,4,2,3,1,1,3,2,3
2,0,,,9,3,1,,2,350681,20000,1972,2,2,350681,2,1,2,3,2,2,3,4,4
1,0,,,9,2,1,,2,350603,20000,1978,12,2,350681,1,,2,3,1,2,3,4,5
2,0,,,9,,,,2,350603,,1977,11,2,350681,4,1,2,3,1,1,1,4,3
2,0,,,9,3,1,,2,350681,20000,1967,6,2,350681,2,2,2,3,2,2,3,4,3
2,0,,,3,,,,2,350627,,1971,10,2,350681,3,3,2,3,2,2,2,2,8
3,0,,,3,4,2,,2,350681,12000,1975,8,2,350681,2,1,2,3,2,2,3,4,3
3,0,,,9,,,,2,330305,,1996,10,1,350681,,,2,1,2,1,1,3,9
2,0,,,9,,,,2,350681,,1955,5,1,350681,2,1,2,3,1,1,3,4,4
2,0,,,9,1,1,1,2,350681,45000,1958,10,2,350681,2,1,2,3,2,2,2,2,3
1,0,,,9,,,,2,350681,,1964,3,2,350681,2,1,2,3,1,1,1,3,2
1,0,,,9,3,1,,2,361123,20000,1974,11,2,350681,4,1,2,3,1,1,1,3,3
2,0,,,9,3,3,,2,350681,20000,1973,8,2,350681,2,2,2,3,,,3,4,3
3,0,,,9,,,,2,350681,,1999,5,1,350681,,,2,3,2,2,3,4,4
2,0,,,9,,,,2,350525,,1961,7,2,350525,4,1,2,3,2,2,3,4,3
2,0,,,3,4,1,,2,350681,38000,1975,9,2,350681,2,2,2,3,2,2,3,4,2
1,0,,,9,4,1,,2,350681,30000,1972,2,2,350681,,,2,3,1,2,1,3,3
2,0,,,9,4,4,,2,350600,120000,1975,3,2,350681,1,1,2,3,1,1,1,3,2
2,0,,,3,,,,2,350681,,1964,6,2,350681,2,1,2,3,2,2,3,4,7
3,0,,,9,,,,,350681,,1956,4,2,350681,1,1,2,3,2,2,3,4,1
3,0,,,9,,,,2,350681,,1966,8,2,350681,1,1,2,3,2,2,2,4,3
2,0,,,5,,,,2,350681,,1971,4,2,350681,,1,2,3,2,2,2,4,2
3,0,,,9,4,2,,2,350681,0,1964,3,2,350681,2,,2,3,2,2,3,4,4
2,0,,,9,3,2,1,2,350681,80000,1964,11,2,350681,1,1,2,3,1,1,1,3,9
2,0,,,9,4,3,,2,350681,30000,1966,2,2,350681,3,3,2,3,2,1,3,4,3
2,0,,,3,2,2,,2,350681,18000,1970,1,2,350681,4,2,2,3,1,2,1,3,3
1,0,,,9,3,3,,2,350681,30000,1970,1,2,350681,2,2,2,3,1,1,3,3,3
1,0,,,9,,,,2,350681,,1969,4,2,350681,,,2,3,1,1,3,4,2
1,0,,,9,4,4,,2,350681,0,1958,6,2,350681,2,1,2,3,1,1,1,3,2
2,0,,,9,,,,2,350600,,1963,9,2,350600,2,2,2,3,1,1,1,1,3
1,0,,,9,4,4,,2,350681,28000,1954,12,2,350681,2,1,2,3,1,1,3,4,4
2,0,,,9,4,1,,2,350681,18000,1968,5,4,350681,2,1,2,3,1,1,1,3,3
1,0,2,2,2,4,2,,2,350128,40000,1972,,2,350128,2,,2,3,1,1,1,1,2
3,0,3,5,2,,,,2,350128,,2001,12,1,350128,,,2,3,1,1,1,1,4
3,0,4,5,2,,,,2,350128,,1993,8,2,350128,,,2,3,1,1,1,1,3
2,0,2,5,9,1,1,,2,350128,0,1982,1,2,350128,2,2,2,3,1,1,1,1,3
2,0,4,4,9,,,,2,350128,,2003,5,1,350128,,,2,3,1,1,1,1,4
3,0,3,5,2,1,1,,2,350128,150000,1996,12,1,350128,2,,2,3,1,1,1,1,9
3,0,3,3,9,4,1,,2,350128,120000,1969,4,2,350128,1,1,2,3,1,1,1,1,3
3,0,1,3,9,4,3,,2,350128,2000,1978,12,2,350128,2,1,2,3,1,1,1,1,2
3,0,4,5,9,,,,2,350128,,2001,10,1,350128,,,2,3,1,1,1,1,4
2,0,2,2,3,,,,2,350128,,1955,10,2,350128,1,1,2,3,1,1,1,1,2
3,0,3,3,9,4,4,,,350128,1000,1961,11,2,350128,1,1,2,3,1,1,1,1,1
2,0,5,5,9,,,,2,350128,,1981,10,2,350128,,,2,3,1,1,1,1,7
1,0,4,4,2,,,,2,350128,,1947,3,5,350128,1,1,2,3,1,1,1,1,2
2,0,4,4,2,1,1,,2,350128,100000,1988,12,2,350128,3,,2,3,1,1,1,1,8
3,0,3,3,9,2,1,,2,350128,1000,1997,11,1,350128,,,2,3,1,1,1,1,9
3,0,4,5,3,,,,2,350128,,1954,6,2,350128,1,1,2,3,1,1,1,1,2
1,0,1,1,9,4,4,,,350128,2000,1954,3,2,350128,1,1,2,3,1,1,1,1,1
3,0,2,4,3,2,1,,2,350128,0,1993,11,2,350128,,,2,3,1,1,1,1,8
3,0,4,4,2,,,,2,350128,,1954,2,2,350128,1,1,2,3,1,1,1,1,7
3,0,4,5,9,,,,2,350128,,1954,1,2,350128,1,1,2,1,1,1,1,1,4
2,0,2,4,9,2,1,,2,350128,12000,1982,12,2,350128,2,2,2,1,1,1,1,1,3
3,0,4,4,9,1,1,1,2,350128,100000,1992,8,2,350128,3,1,2,2,1,1,1,1,10
3,0,,,9,4,1,,2,350402,20000,1964,2,2,350402,2,2,2,3,1,1,3,4,4
2,0,,,9,1,2,,2,350783,50000,1980,11,2,350402,2,2,2,3,1,1,1,2,9
2,0,,,3,1,1,1,2,350430,80000,1990,7,2,350402,1,1,2,3,1,1,2,4,9
3,0,,,9,1,1,1,2,350426,60000,1990,2,2,350426,2,2,2,1,1,1,1,1,9
3,0,,,9,2,1,1,2,350426,30000,1966,11,2,350402,1,1,2,3,1,1,1,3,9
2,0,,,9,4,1,1,2,350423,90000,1959,10,3,350402,2,2,2,3,1,1,1,3,3
1,0,,,9,,,,2,350424,,1954,9,2,350402,4,1,2,1,1,1,1,3,3
3,0,,,3,1,1,1,2,350302,50000,1977,2,2,350402,9,4,2,3,1,1,3,4,8
2,0,,,9,1,1,1,2,350403,200000,1976,10,2,350403,4,2,2,3,1,1,3,4,9
3,0,,,9,,,,2,350300,,1993,2,2,350402,3,3,2,3,1,1,1,2,4
1,0,,,9,1,1,1,2,350425,54000,1982,3,2,350402,2,1,2,3,1,1,1,3,9
1,0,,,9,3,1,1,2,350402,80000,1970,6,2,350402,9,2,2,1,2,2,2,4,9
2,0,,,9,1,1,1,2,350403,50000,1972,2,2,350402,1,1,2,1,1,1,2,4,4
1,0,,,9,4,1,,2,350702,60000,1969,7,2,350402,2,1,2,3,1,1,2,4,6
3,0,,,9,,,,2,350402,,1997,8,1,350402,,,2,3,2,2,3,4,8
3,0,,,9,1,1,1,2,350402,100000,1982,4,2,350402,3,4,2,3,2,2,3,4,9
3,0,,,3,,,,2,350428,,1979,,2,350402,1,1,2,3,1,1,1,2,8
3,0,,,9,4,1,,2,350402,25000,1974,8,4,350402,,,2,3,1,1,1,3,9
3,0,,,3,,,,2,350426,,1998,4,1,350426,2,3,2,3,1,1,1,1,8
3,0,,,9,,,,2,350423,,1998,9,1,350423,2,1,2,3,1,1,1,1,8
3,0,,,9,,,,2,350121,,1967,11,2,350402,7,7,2,3,,,2,2,4
3,0,,,9,,,,2,350525,,1970,1,2,350402,1,1,2,3,1,1,1,2,3
3,0,,,9,,,,2,350402,,1957,10,2,350402,1,1,2,3,2,2,2,2,4
4,3,,,9,,,,2,350402,,2002,3,1,350402,,4,2,3,2,2,2,2,4
2,0,,,9,,,,2,341102,,1954,1,2,350402,6,1,2,3,2,2,3,4,8
3,0,,,9,,,,2,350403,,1960,3,4,350402,2,1,1,3,1,1,1,4,2
